customer_id,name,age,email,city,signup_date
1,Shawn Adams,59,jmedina@ramirez.com,Michaelshire,2023-07-04
2,Michele Burns,51,williamwarren@rodriguez-holland.net,Richardsonville,2022-10-29
3,Wendy Rogers,19,mariamcmahon@yahoo.com,Brandonborough,2022-01-11
4,Michael Perry,18,ashley28@lucas.com,Lindseyfurt,2023-08-01
5,Donna Dougherty,42,robinsonstephanie@yahoo.com,Watsonport,2023-03-17
6,Patricia Hall,71,,Hartborough,2023-01-23
7,Diamond Williams,48,mollyking@gmail.com,Williamsfort,2024-07-27
8,Robert Clark,34,ccarr@yahoo.com,Port Dana,2023-02-22
9,Corey West PhD,58,mariamarsh@hotmail.com,North Jeremy,2021-06-10
10,Daniel Howe,22,anthony40@yahoo.com,West Kristinamouth,2020-08-05
11,Gregory Stone,49,paulmolina@carpenter-simpson.com,,2021-04-30
12,Cassandra Hughes,35,ahernandez@chung-reyes.org,Josephland,2023-01-30
13,Mr. Alvin Murphy IV,30,myerscindy@miller-richardson.com,Jarvistown,2022-10-09
14,Ms. Sue James,49,kimberly38@yahoo.com,South Katherineberg,2021-05-07
15,Autumn Miller,62,webercarol@hartman-daniel.info,Nguyenmouth,2023-06-20
16,Nicole Robinson,34,graymathew@yahoo.com,Andersonville,2021-11-23
17,Anne Parker,78,davidboyd@hotmail.com,Reedtown,2022-06-12
18,Michael Harris,30,bryantjustin@warren.com,Lisatown,2021-07-01
19,Jessica Lopez,73,eturner@gmail.com,Howardfurt,2024-12-19
20,Nicholas Garcia,36,jason29@steele.com,North Brittany,2023-02-03
21,Timothy Morales,56,paulagrimes@yahoo.com,Kennethside,2023-12-28
22,Angela Harrison,62,pdalton@brown-cole.com,New Dana,2022-10-28
23,Samantha Crawford,55,raymondmatthew@hotmail.com,Port Brandytown,2020-04-03
24,Beth Carpenter,40,shernandez@russell-smith.com,West Jeremychester,2024-06-16
25,Jeffrey Wright,41,sarahevans@walsh-schroeder.com,Loganton,2020-08-31
26,Patrick Hodges,23,xday@silva-williams.com,Letown,2022-08-29
27,Angela Walker,42,jamessmith@gonzales.com,South Kristinemouth,2020-12-31
28,Margaret Nelson,30,asosa@hotmail.com,Lake Shannon,2023-10-24
29,Kelly Middleton,24,sandra90@hotmail.com,Nguyenberg,2024-06-10
30,Nichole Campos,50,tinarich@hotmail.com,New Craig,2023-10-19
31,Christian Hahn,37,marquezdeborah@yahoo.com,Smithstad,2023-09-17
32,Brad Stanton,32,williemitchell@hotmail.com,Reginaview,2023-10-15
33,Matthew Williamson,26,bradleysummer@taylor.com,East Dennisbury,2020-02-15
34,Mark Hernandez,44,obrienvirginia@yahoo.com,South Lawrence,2021-09-02
35,Anne Sanchez,62,noah69@jones.org,Lake Jorgefurt,2022-05-14
36,Colin Burns,61,fchavez@yahoo.com,Moyerberg,2020-09-21
37,Lisa Roberts,62,cheyenne76@cole.net,Christopherfort,2021-01-28
38,Amanda Orr,36,nathangarcia@chung-johnson.info,Lake Nicolefort,2023-05-12
39,Patricia Fields,56,racheljohnson@yahoo.com,Heatherfort,2021-02-09
40,Christina Cruz,72,vsutton@kelly.biz,Sandramouth,2023-07-09
